Selected GPU: 4
Using device: cuda:4
ACC ON: 3317977
ACC OFF: 5747608
Epoch 51/200 | Loss: 0.3366 | Acc: 0.7518 | Prec: 0.6103 | Recall: 0.8897 | F1: 0.7240
Epoch 52/200 | Loss: 0.3366 | Acc: 0.7475 | Prec: 0.6049 | Recall: 0.8929 | F1: 0.7212
Epoch 53/200 | Loss: 0.3365 | Acc: 0.7505 | Prec: 0.6084 | Recall: 0.8927 | F1: 0.7236
Epoch 54/200 | Loss: 0.3366 | Acc: 0.7524 | Prec: 0.6111 | Recall: 0.8892 | F1: 0.7244
Epoch 55/200 | Loss: 0.3365 | Acc: 0.7515 | Prec: 0.6098 | Recall: 0.8908 | F1: 0.7240
Epoch 56/200 | Loss: 0.3366 | Acc: 0.7510 | Prec: 0.6091 | Recall: 0.8915 | F1: 0.7237
Epoch 57/200 | Loss: 0.3366 | Acc: 0.7524 | Prec: 0.6110 | Recall: 0.8896 | F1: 0.7245
Epoch 58/200 | Loss: 0.3364 | Acc: 0.7523 | Prec: 0.6109 | Recall: 0.8893 | F1: 0.7243
Epoch 59/200 | Loss: 0.3364 | Acc: 0.7521 | Prec: 0.6106 | Recall: 0.8902 | F1: 0.7244
Epoch 60/200 | Loss: 0.3364 | Acc: 0.7521 | Prec: 0.6106 | Recall: 0.8905 | F1: 0.7244
Epoch 61/200 | Loss: 0.3364 | Acc: 0.7516 | Prec: 0.6097 | Recall: 0.8919 | F1: 0.7243
Epoch 62/200 | Loss: 0.3364 | Acc: 0.7522 | Prec: 0.6107 | Recall: 0.8904 | F1: 0.7245
Epoch 63/200 | Loss: 0.3363 | Acc: 0.7535 | Prec: 0.6127 | Recall: 0.8872 | F1: 0.7248
Epoch 64/200 | Loss: 0.3363 | Acc: 0.7484 | Prec: 0.6057 | Recall: 0.8950 | F1: 0.7225
Epoch 65/200 | Loss: 0.3362 | Acc: 0.7530 | Prec: 0.6118 | Recall: 0.8889 | F1: 0.7248
Epoch 66/200 | Loss: 0.3361 | Acc: 0.7512 | Prec: 0.6092 | Recall: 0.8922 | F1: 0.7241
Epoch 67/200 | Loss: 0.3361 | Acc: 0.7525 | Prec: 0.6114 | Recall: 0.8878 | F1: 0.7241
Epoch 68/200 | Loss: 0.3360 | Acc: 0.7523 | Prec: 0.6107 | Recall: 0.8910 | F1: 0.7247
Epoch 69/200 | Loss: 0.3360 | Acc: 0.7524 | Prec: 0.6108 | Recall: 0.8907 | F1: 0.7247
Epoch 70/200 | Loss: 0.3359 | Acc: 0.7506 | Prec: 0.6086 | Recall: 0.8924 | F1: 0.7237
Epoch 71/200 | Loss: 0.3359 | Acc: 0.7527 | Prec: 0.6113 | Recall: 0.8896 | F1: 0.7247
Epoch 72/200 | Loss: 0.3359 | Acc: 0.7522 | Prec: 0.6105 | Recall: 0.8921 | F1: 0.7249
Epoch 73/200 | Loss: 0.3358 | Acc: 0.7504 | Prec: 0.6082 | Recall: 0.8934 | F1: 0.7237
Epoch 74/200 | Loss: 0.3358 | Acc: 0.7523 | Prec: 0.6105 | Recall: 0.8923 | F1: 0.7249
Epoch 75/200 | Loss: 0.3357 | Acc: 0.7523 | Prec: 0.6105 | Recall: 0.8919 | F1: 0.7248
Epoch 76/200 | Loss: 0.3357 | Acc: 0.7523 | Prec: 0.6104 | Recall: 0.8928 | F1: 0.7251
Epoch 77/200 | Loss: 0.3356 | Acc: 0.7515 | Prec: 0.6094 | Recall: 0.8932 | F1: 0.7245
Epoch 78/200 | Loss: 0.3355 | Acc: 0.7512 | Prec: 0.6090 | Recall: 0.8937 | F1: 0.7244
Epoch 79/200 | Loss: 0.3354 | Acc: 0.7466 | Prec: 0.6035 | Recall: 0.8963 | F1: 0.7213
Epoch 80/200 | Loss: 0.3354 | Acc: 0.7529 | Prec: 0.6113 | Recall: 0.8913 | F1: 0.7252
Epoch 81/200 | Loss: 0.3353 | Acc: 0.7353 | Prec: 0.5907 | Recall: 0.9002 | F1: 0.7133
Epoch 82/200 | Loss: 0.3352 | Acc: 0.7541 | Prec: 0.6127 | Recall: 0.8911 | F1: 0.7261
Epoch 83/200 | Loss: 0.3351 | Acc: 0.7532 | Prec: 0.6115 | Recall: 0.8925 | F1: 0.7258
Epoch 84/200 | Loss: 0.3351 | Acc: 0.7516 | Prec: 0.6092 | Recall: 0.8955 | F1: 0.7251
